StudentID,First,Last,Gender,Country,Age,Math,Physics,Chemistry,Date
1,James,Zhang,Male,US,23,73,70,87,10/31/08
2,Wilson,Li,Male,UK,26,95,999,83,03/16/08
3,Richard,Nuan Ye,Male,UK,35,77,83,92,05/22/08
4,Mary,Deng,Female,US,21,60,99,84,01/24/09
5,Jason,Wilson,Male,UK,19,77,89,93,07/30/09
6,Jennifer,Hopkin,Female,UK,43,79,64,83,04/05/09
7,Kari,Gjendem,Female,US,37,87,99,67,11/24/08
8,Wenche,Dale,Female,US,28,95,87,93,10/02/08
9,Jane,Larsen,Female,US,19,73,92,84,06/05/09
10,Steinar,Hansen,Male,UK,25,66,93,999,08/01/08
11,Michael,Chen,Male,UK,42,83,90,77,10/24/08
12,Josef,Curton,Male,US,32,71,63,96,11/08/09
13,Jennifer,Jones,Male,US,27,79,76,82,10/29/08
14,Gary,Grant,Female,UK,35,90,78,92,10/24/08
15,Phil,Yao,Male,UK,21,69,69,83,10/15/08
16,Nora,Spears,Female,US,29,79,83,76,03/11/09
17,Goril,Nordmann,Female,UK,36,91,79,69,05/24/08
18,Lisa,Bondvik,Female,US,39,65,73,87,07/09/09
19,Guri,Olsen,Female,US,24,87,72,89,08/12/09
20,Martin,Jones,Male,US,25,82,73,62,999
